"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"132","0","7","8","51","16",0,490563413912833,-1,6927959694043,0,748804519959261,0,523293792719274,0,"238358095275269",0,59580771906234,0,398824028256126,0,754981752165993,0,259985731793392,0
"133","1","7","9","51","16",0,490642501388205,-1,6997430319438,0,760143228951274,0,523290868593481,0,"236723609229362",0,59729603556529,0,411010950658827,0,811008781421086,0,242753987996247,0
"134","1","7","9","51","16",0,492915202343538,-1,700441310012,0,761780834610903,0,523355941330535,0,"236718153384412",0,598844320914609,0,412317355157219,0,807538737969049,0,243749422607457,1
"135","1","7","9","51","16",0,488641041679558,-1,703205886349,0,766131327592731,0,522748868606754,0,"235514568862386",0,607754299291351,0,416022588286543,0,878435562037608,0,219596243414128,0
"136","0","5","8","51","16",0,561118797289551,-1,7069187836865,0,798342316412536,0,52345737717375,0,"234949642704197",0,638967914522484,0,435927031916057,0,757611009637215,0,234423397308297,0
"137","1","7","9","51","16",0,488710981225038,-1,6990162733671,0,758662793519754,0,523191043118007,0,"236650680818581",0,595966793870929,0,409489618566426,0,808820650664175,0,24129115378163,1
"138","1","7","9","51","16",0,494131583887449,-1,7018069544559,0,765571748683328,0,522386014704348,0,"235926006236565",0,620381641893908,0,412829329069013,0,875463089822147,0,216656606837303,0
"139","1","7","9","51","16",0,484272394472862,-1,698451103684,0,756570528742237,0,523057615477597,0,"236651354887406",0,595149211394936,0,408100094529143,0,809819464574073,0,239927138832633,1
"140","1","7","9","51","16",0,490834284807425,-1,6964409037755,0,75373043149956,0,523808704587861,0,"237953887244333",0,587346161679727,0,405900048267694,0,745542359461904,0,265775300054997,0
"141","1","7","9","51","16",0,488807128725605,-1,7026191595725,0,765484125656008,0,522701119371859,0,"235458551940036",0,606419800591867,0,41515910079521,0,875120104408624,0,218786023938521,1
"142","0","7","6","51","16",0,487617806372744,-1,6990176952445,0,765629675230676,0,522539330730996,0,"235573006723982",0,60739384231328,0,415652352463958,0,873844496375346,0,21901118448649,1
"143","1","7","9","51","16",0,489228454270991,-1,6972801359173,0,756651455693913,0,523096109593676,0,"236479800000631",0,592010757074713,0,406376363524595,0,803561557594436,0,238595492735012,0
"144","1","7","7","43","15",0,490566319336274,-1,6998788177988,0,760442790439943,0,523323130040454,0,"236766215238364",0,597914289199582,0,411391431648285,0,814432951767135,0,243199577082121,1
"145","1","7","7","49","15",0,491343519378891,-1,7036885808945,0,76755691430823,0,522785429898263,0,"235452006549086",0,608639529025838,0,416871762869227,0,871234832156108,0,220082387645475,1
"146","0","7","6","51","16",0,491986301511159,-1,7037242062059,0,768054179211617,0,522809468987875,0,"235480613835828",0,609092117687065,0,417352993347365,0,871752758068189,0,220533770053081,1
"147","1","7","9","51","16",0,492713724055318,-1,7038493356965,0,768264233254111,0,522801580286064,0,"235424638696945",0,609056991619531,0,417287693599185,0,867658586710122,0,220322299212866,1
"148","1","7","9","51","16",0,49026979633587,-1,6997773121653,0,760078501133838,0,523276235400675,0,"23671103230668",0,597481942971992,0,410934799840712,0,81007683339522,0,242603481653532,0
"149","1","7","9","51","16",0,491273054690751,-1,7036931499044,0,767838847541524,0,522821285646722,0,"235530520706746",0,609119672601499,0,417411685873915,0,875870841651218,0,220743677062652,1
"150","1","7","9","51","16",0,489794428942182,-1,7108411465764,0,763360331630666,0,525433007600768,0,"247081424885374",0,13121319212848,0,409584351518481,0,86898895638669,0,225479563634062,1
"151","1","7","9","51","16",0,489983394655056,-1,7028337259477,0,76685146558702,0,522722486794622,0,"235418886222172",0,608311132046718,0,416450575383271,0,874739019449138,0,219840996639218,1
"152","1","7","9","51","16",0,493488461630235,-1,7016615963134,0,765075198142686,0,52235812592916,0,"235904119383657",0,619920558277832,0,412348480979826,0,87494095819721,0,216204896213461,0
"153","1","7","9","51","16",0,490339351355164,-1,7032763370916,0,766934146298898,0,522769538738643,0,"235481817510171",0,608140519928977,0,416373746010916,0,874521064602106,0,219776076454927,1
"154","1","7","9","51","16",0,49270837505018,-1,7079672025358,0,758368625774018,0,525987719098831,0,"248235995896364",0,130000550768469,0,405503785749268,0,797484763875486,0,249204201997088,0
